InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1143,1121009028957,14.26,0.05,24.09564,21.00494,55120.33793,0
1143,1121009028957,14.28,0.05,24.09564,21.00495,55120.34795,0
1143,1121009028957,14.25,0.05,24.09563,21.00495,55120.3581,0
1143,1121009028957,14.22,0.05,24.09564,21.00495,55120.36806,0
1143,1121009028957,14.23,0.05,24.09561,21.00499,55085.41087,0
1143,1121009028957,14.19,0.05,24.09558,21.00497,55085.41694,0
1143,1121009028957,14.18,0.05,24.09558,21.00498,55085.42296,0
1143,1121009028957,14.14,0.05,24.09556,21.00495,55085.42906,0
1143,1121009028957,14.08,0.05,24.09558,21.00499,55095.3557,0
1143,1121009028957,14.12,0.05,24.09559,21.00499,55095.36115,0
1143,1121009028957,14.17,0.05,24.09559,21.00499,55095.36672,0
1143,1121009028957,14.23,0.05,24.0956,21.00499,55095.37218,0
1143,1121009028957,14.34,0.06,24.09558,21.00498,55102.28375,0
1143,1121009028957,14.35,0.06,24.09558,21.00498,55102.291,0
1143,1121009028957,14.35,0.06,24.09561,21.00495,55102.29829,0
1143,1121009028957,14.32,0.06,24.0956,21.00499,55102.30557,0
1143,1121009028957,14.31,0.06,24.0956,21.005,55531.19554,0
1143,1121009028957,14.34,0.06,24.09556,21.00499,55531.2082,0
1143,1121009028957,14.31,0.06,24.09557,21.005,55531.2145,0
1143,1121009028957,14.26,0.06,24.09559,21.00496,55543.14496,0
1143,1121009028957,14.32,0.06,24.09557,21.00496,55543.16323,0
1143,1121009028957,14.33,0.06,24.09556,21.00497,55543.17233,0
1143,1121009028957,14.27,0.06,24.09555,21.00494,55241.09978,0
1143,1121009028957,14.23,0.05,24.09557,21.00494,55241.10779,0
1143,1121009028957,14.19,0.05,24.09556,21.00493,55241.11588,0
1143,1121009028957,14.15,0.05,24.09555,21.00493,55241.12392,0
1143,1121009028957,14.06,0.05,24.09557,21.00498,55210.08893,0
1143,1121009028957,14.04,0.05,24.09558,21.00496,55210.09567,0
1143,1121009028957,14.02,0.05,24.09559,21.00496,55210.10251,0
1143,1121009028957,14.04,0.05,24.09558,21.00495,55210.10934,0
1143,1121009028957,14.07,0.06,24.09563,21.00493,55505.25575,0
1143,1121009028957,14.03,0.05,24.09562,21.00494,55505.26715,0
1143,1121009028957,14.02,0.05,24.09559,21.00498,55505.27282,0
1143,1121009028957,14.15,0.05,24.09559,21.00498,55511.22614,0
1143,1121009028957,14.07,0.05,24.09559,21.00498,55511.23765,0
1143,1121009028957,14.04,0.05,24.09559,21.00498,55511.24342,0
1143,1121009028957,14.08,0.05,24.09558,21.00496,55470.32969,0
1143,1121009028957,14.16,0.05,24.09558,21.00499,55470.34109,0
1143,1121009028957,14.2,0.05,24.09557,21.00498,55470.34684,0
1143,1121009028957,14.09,0.05,24.09559,21.00498,55478.34629,0
1143,1121009028957,14.03,0.05,24.09557,21.00498,55478.36473,0
1143,1121009028957,14.04,0.05,24.09559,21.00498,55478.37395,0
1143,1121009028957,14.17,0.05,24.09559,21.00498,55497.19603,0
1143,1121009028957,14.08,0.05,24.09559,21.00498,55497.20982,0
1143,1121009028957,14.04,0.05,24.09558,21.00501,55497.21672,0
1143,1121009028957,14.28,0.06,24.09561,21.00498,55456.34423,0
1143,1121009028957,14.27,0.06,24.09559,21.00496,55456.35717,0
1143,1121009028957,14.25,0.06,24.09559,21.00497,55456.36361,0
1143,1121009028957,14.22,0.05,24.09559,21.00498,55564.11781,0
1143,1121009028957,14.16,0.05,24.09558,21.00499,55564.12519,0
1143,1121009028957,14.09,0.05,24.09559,21.00497,55564.13254,0
1143,1121009028957,14.05,0.05,24.09556,21.00498,55564.14115,0
1143,1121009028957,14.25,0.06,24.09557,21.00495,55587.11484,0
1143,1121009028957,14.22,0.06,24.09557,21.00496,55587.12169,0
1143,1121009028957,14.12,0.06,24.09558,21.00496,55587.12858,0
1143,1121009028957,14.08,0.05,24.09557,21.00496,55587.13547,0
1143,1121009028957,14.21,0.05,24.09566,21.00499,55862.27801,0
1143,1121009028957,14.16,0.05,24.09566,21.00499,55862.2884,0
1143,1121009028957,14.1,0.05,24.09563,21.00496,55862.29863,0
1143,1121009028957,14.06,0.05,24.09566,21.00496,55862.30898,0
1143,1121009028957,14.22,0.05,24.09562,21.00498,55828.42999,0
1143,1121009028957,14.25,0.05,24.09562,21.00495,55828.43784,0
1143,1121009028957,14.26,0.05,24.09561,21.00496,55828.44573,0
1143,1121009028957,14.27,0.05,24.09562,21.00497,55828.45354,0
1143,1121009028957,14.07,0.05,24.09563,21.00498,55834.36675,0
1143,1121009028957,14.06,0.05,24.09564,21.00498,55834.37626,0
1143,1121009028957,14.09,0.05,24.09564,21.00498,55834.38574,0
1143,1121009028957,14.11,0.05,24.09562,21.00498,55834.39525,0
1143,1121009028957,14.11,0.05,24.09565,21.00498,55883.13285,0
1143,1121009028957,14.1,0.05,24.09567,21.00497,55883.13799,0
1143,1121009028957,14.13,0.05,24.09565,21.00498,55883.14304,0
1143,1121009028957,14.16,0.05,24.09565,21.00498,55883.14822,0
1143,1121009028957,14.37,0.06,24.09563,21.00494,55851.32701,0
1143,1121009028957,14.39,0.06,24.09565,21.00498,55851.33658,0
1143,1121009028957,14.35,0.05,24.09563,21.00493,55851.3463,0
1143,1121009028957,14.28,0.05,24.09564,21.00496,55851.35603,0
1143,1121009028957,14.32,0.05,24.09563,21.00497,55892.25327,0
1143,1121009028957,14.37,0.06,24.09562,21.00498,55892.25952,0
1143,1121009028957,14.41,0.06,24.09564,21.00497,55892.26581,0
1143,1121009028957,14.41,0.06,24.09565,21.00496,55892.27217,0
1143,1121009028957,14.23,0.05,24.0956,21.00496,55935.17824,0
1143,1121009028957,14.21,0.05,24.09562,21.00497,55935.18585,0
1143,1121009028957,14.18,0.05,24.09563,21.00497,55935.19353,0
1143,1121009028957,14.19,0.05,24.09549,21.00499,55935.20117,0
1143,1121009028957,14.32,0.06,24.09561,21.0049,55945.15169,0
1143,1121009028957,14.35,0.06,24.09559,21.00497,55945.15604,0
1143,1121009028957,14.38,0.06,24.09561,21.00496,55945.16039,0
1143,1121009028957,14.38,0.06,24.09566,21.005,55945.16479,0
1143,1121009028957,14.16,0.05,24.0956,21.00497,55959.16339,0
1143,1121009028957,14.21,0.05,24.09558,21.00496,55959.16943,0
1143,1121009028957,14.26,0.05,24.09557,21.00493,55959.17554,0
1143,1121009028957,14.34,0.06,24.09562,21.00495,55959.18157,0
1143,1121009028957,14.26,0.05,24.09562,21.00494,55975.0941,0
1143,1121009028957,14.21,0.05,24.0956,21.00497,55975.10094,0
1143,1121009028957,14.14,0.05,24.09561,21.00495,55975.10779,0
